id,owner,Repo,Estrelas,Idade (anos),Total releases,Dias desde última atualização,Linguagem primária
463,pedrovgs,EffectiveAndroidUI,6015,11.19,0,11,Java
464,graphhopper,graphhopper,5997,13.57,45,0,Java
465,rey5137,material,5990,10.76,10,7,Java
466,google,physical-web,5983,10.95,17,4,Java
467,robolectric,robolectric,5969,15.05,110,0,Java
468,wyouflf,xUtils3,5969,9.88,9,1,Java
469,vavr-io,vavr,5969,11.62,19,0,Java
470,obsidiandynamics,kafdrop,5962,6.3,50,0,Java
501,TeamAmaze,AmazeFileManager,5756,11.17,66,0,Java
502,alibaba,spring-ai-alibaba,5754,1.0,10,0,Java
503,Nepxion,Discovery,5745,7.23,132,0,Java
504,k0shk0sh,FastHub,5732,8.56,63,2,Java
505,Devlight,InfiniteCycleViewPager,5724,9.06,2,1,Java
506,jeequan,jeepay,5721,8.08,0,0,Java
507,jpush,aurora-imui,5717,8.75,42,2,Java
508,yanzhenjie,SwipeRecyclerView,5706,9.11,0,0,Java
509,dromara,lamp-cloud,5687,7.65,0,1,Java
510,springside,springside4,5685,13.56,3,0,Java
511,jagrosh,MusicBot,5664,9.08,38,0,Java
512,wasabeef,Blurry,5662,10.14,0,2,Java
513,JakeWharton,u2020,5661,11.83,0,2,Java
514,apache,nifi,5661,10.75,0,0,Java
515,crazycodeboy,react-native-splash-screen,5659,8.99,12,0,Java
516,hanks-zyh,HTextView,5649,9.73,0,0,Java
517,redis,lettuce,5632,11.35,135,0,Java
518,ZHENFENG13,spring-boot-projects,5630,8.45,0,0,Java
519,daimajia,AndroidImageSlider,5620,11.28,5,11,Java
520,JanusGraph,janusgraph,5610,8.71,28,0,Java
531,emilsjolander,StickyListHeaders,5497,13.51,16,23,Java
532,wuhaoyu1990,MagicCamera,5493,9.68,0,0,Java
533,00-Evan,shattered-pixel-dungeon,5493,11.12,52,0,Java
534,sockeqwe,mosby,5477,10.47,15,1,Java
535,alibaba,jetcache,5475,8.42,67,0,Java
536,scribejava,scribejava,5466,15.02,9,14,Java
537,alibaba,freeline,5461,9.11,22,0,Java
538,KeepSafe,TapTargetView,5456,9.0,24,4,Java
539,dm77,barcodescanner,5451,11.55,6,2,Java
540,201206030,novel,5447,5.84,12,0,Java
